title,authors,average_rating,publication_year
Fight Club,Chuck Palahniuk,4.19,2005
BSD Hacks,Lavigne,3.8,2004
The Design and Implementation of the 4.3BSD UNIX Operating System,Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels,4.26,1989
Choke,Stuart Woods,3.84,1996
Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,3.22,2004
The Aleph and Other Stories,Jorge Luis Borges/Andrew Hurley,4.38,2004
El Aleph,Jorge Luis Borges,4.38,2007
Vanity Fair,William Makepeace Thackeray/John Carey,3.79,2003
Vanity Fair,William Makepeace Thackeray/Nicholas Dames,3.79,2003
Vanity Fair,William Makepeace Thackeray,3.79,1998
V for Vendetta,Alan Moore/David   Lloyd,4.25,2005
V.,Thomas Pynchon/Carlos Martín Ramírez,3.96,2001
Girl in the Shadows (Shadows  #2),V.C. Andrews,3.81,2006
V for Vendetta,Steve Moore/Lilly Wachowski/Lana Wachowski/Alan Moore,4.15,2006
Heaven (Casteel  #1),V.C. Andrews,4.03,1997
Slow Learner: Early Stories,Thomas Pynchon,3.5,1995
A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger,4.01,2006
Casino Royale,Ian Fleming,3.73,2004
Casino Royale,Anthony Hern/Ian Fleming/Henry Gammidge/John McLusky,3.7,2005
Bel Canto,Ann Patchett,3.93,2005
Guerilla Film Makers Movie Blueprint,Chris          Jones/Jonathan Newman/Cara Williams,4.2,2003
Mini-Manual of the Urban Guerrilla,Carlos Marighella,3.31,2002
The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),Christopher   Duncan,3.13,2006
A Bend in the River,V.S. Naipaul,3.77,2002
The Middle Passage,V.S. Naipaul,3.61,2002
Magic Seeds,V.S. Naipaul,3.13,2005
Half a Life,V.S. Naipaul,3.25,2009
North of South: An African Journey,Shiva Naipaul,3.89,1996
V.S. Naipaul,Bruce Alvin King,2.0,2003
Regeneration Through Violence: The Mythology of the American Frontier  1600–1860,Richard Slotkin,4.3,2000
Regeneration (Species Imperative  #3),Julie E. Czerneda,4.13,2006
The Regeneration Trilogy (Regeneration  #1-3),Pat Barker,4.38,1996
The Sparrow (The Sparrow  #1),Mary Doria Russell,4.16,1997
The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5),Rob Kidd/Walt Disney Company,4.05,2006
The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),Rob Kidd/Jean-Paul Orpinas/Walt Disney Company,3.98,2006
The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3),Rob Kidd/Walt Disney Company,3.89,2006
The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2),Rob Kidd/Jean-Paul Orpinas,3.86,2006
The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1),Rob Kidd/Jean-Paul Orpinas,3.83,2006
The Woman in White,Wilkie Collins/Matthew Sweet,4.0,2003
The Woman in White,Wilkie Collins,4.0,2005
The Woman in White,Wilkie Collins/Maria K. Bachman/Don Richard Cox,4.0,2006
The Woman in White,Wilkie Collins/Camille Cauti,4.0,2005
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,2002
The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States,National Commission on Terrorist Attacks Upon The United States,3.6,2004
The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,2002
The Annotated Hobbit,J.R.R. Tolkien/Douglas A. Anderson,4.27,2003
Poems From The Hobbit,J.R.R. Tolkien,4.3,1999
The Hobbit: Or There and Back Again,J.R.R. Tolkien,4.27,2003
The Hobbit,J.R.R. Tolkien,4.27,2007
Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,Harry Graham/Frank J. Moore/D. Streamer,3.86,2013
The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,4.46,2004
Twenty Love Poems and a Song of Despair,Pablo Neruda/W.S. Merwin/Cristina García,4.3,2006
Veinte poemas de amor y una canción desesperada; Cien sonetos de amor,Pablo Neruda,4.3,2002
Love,Pablo Neruda,4.46,1995
Anil's Ghost,Michael Ondaatje,3.57,2001
Waiting for My Cats to Die: A Memoir,Stacy Horn,3.67,2002
Narcissus and Goldmund,Hermann Hesse/Leila Vennewitz,4.2,1993
Edward Lear's Book of Nonsense: With Lear's Original Illustrations,Edward Lear/Simcha Shtull,3.65,1995
A Sparrow Falls (Courtney #3),Wilbur Smith,4.19,2007
Providence of a Sparrow: Lessons from a Life Gone to the Birds,Chris Chester,4.33,2004
Sparrow Hawk Red,Ben Mikaelsen,3.79,1995
The Fall of a Sparrow,Robert Hellenga,3.69,1999
The Bluebird and the Sparrow (Women of the West  #10),Janette Oke,3.83,2006
Journey of the Sparrows,Fran Leeper Buss/Daisy Cubias,3.69,2002
Aleutian Sparrow,Karen Hesse/Evon Zerbetz/Kim McGillivray,3.78,2005
An Episode of Sparrows,Rumer Godden,4.21,2004
Li Po and Tu Fu: Poems,Li Bai/Du Fu/Arthur Cooper/Shui Chien-Tung,4.14,1973
混血王子的背叛 (哈利波特  #6),J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,4.57,2005
火盃的考驗 (哈利波特  #4),J.K. Rowling/J.K.羅琳/彭倩文,4.56,2001
Five T'ang Poets,Wang Wei/Li Bai/Li Ho/Li Shang-yin/David        Young,4.3,1990
The End of Obscenity: The Trials of Lady Chatterley  Tropic of Cancer  and Fanny Hill,Charles Rembar,3.88,1986
Juniper,Monica Furlong,4.16,2004
The Long Road Back: A Survivor's Guide to Anorexia,Judy Tam Sargent/Sonia Nordenson,3.2,1998
The Road Back,Erich Maria Remarque,4.32,2001
Robinson Crusoe,Daniel Defoe/L.J. Swingle,3.67,2003
Achilles in Vietnam: Combat Trauma and the Undoing of Character,Jonathan Shay,4.25,1995
The Work of Mourning,Jacques Derrida/Pascale-Anne Brault/Michael Naas,4.2,2003
Transform Your Life: A step-by-step programme for change,Diana Cooper,4.0,1998
A Short History of Byzantium,John Julius Norwich,4.09,1998
The Middle Sea: A History of the Mediterranean,John Julius Norwich,3.85,2006
A History of Venice,John Julius Norwich,4.2,1989
The Normans in Sicily: The Normans in the South 1016-1130 and the Kingdom in the Sun 1130-1194,John Julius Norwich,4.34,2004
Siddhartha,Hermann Hesse/Susan Bernofsky/Tom Robbins,4.02,2006
Siddhartha,Hermann Hesse/Joachim Neugroschel/Ralph Freedman,4.02,2002
Siddhartha,Hermann Hesse,4.02,1975
The Moonstone,Wilkie Collins/Carolyn G. Heilbrun,3.91,2001
The Moonstone,Wilkie Collins,3.91,1998
The Moonstone,Wilkie Collins/P.D. James,3.91,1999
Ride of the Second Horseman: The Birth and Death of War,Robert L. O'Connell,4.29,1997
Beloved,Toni Morrison,3.83,2004
Cry  the Beloved Country,Alan Paton,3.9,2003
Life of the Beloved: Spiritual Living in a Secular World,Henri J.M. Nouwen,4.28,2002
Come Away My Beloved,Frances J. Roberts,4.58,2005
Israel  My Beloved,Kay Arthur,4.16,2001
Beloved Bride: The Letters of Stonewall Jackson to His Wife,Bill Potter/Stephen Lang,4.1,2003
The Search for the Beloved: Journeys in Mythology and Sacred Psychology (Inner Workbook),Jean Houston,3.95,1997
Reservation Blues,Sherman Alexie,3.98,2005
The Border Trilogy: All the Pretty Horses  The Crossing  Cities of the Plain,Cormac McCarthy,4.44,1999
Music & Silence,Rose Tremain,3.95,2001
The Periodic Table,Primo Levi,4.21,2009
Survival in Auschwitz,Primo Levi/Stuart J. Woolf/Philip Roth,4.32,1995
The Reawakening,Primo Levi/Stuart J. Woolf,4.29,1995
The Drowned and the Saved,Primo Levi,4.4,1989
The Monkey's Wrench,Primo Levi/William Weaver/Ruth Feldman/Ruth Tenzer Feldman,3.92,1995
Primo Levi: A Life,Ian Thomson,4.11,2004
Wuthering Heights,Emily Brontë,3.85,2007
Disgrace,J.M. Coetzee,3.84,2005
Waiting for the Barbarians,J.M. Coetzee,3.94,1999
The Lives of Animals,J.M. Coetzee/Amy Gutmann/Peter Singer/Wendy Doniger/Barbara Smuts/Marjorie Garber,3.69,2001
Boyhood: Scenes from Provincial Life,J.M. Coetzee,3.79,1998
Youth,J.M. Coetzee,3.79,2003
Age of Iron,J.M. Coetzee,3.84,1998
The Wife (Kristin Lavransdatter  #2),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,4.15,1999
Kristin Lavransdatter (Kristin Lavransdatter  #1-3),Sigrid Undset/Tiina Nunnally/Brad Leithauser,4.28,2005
The Axe (The Master of Hestviken  #1),Sigrid Undset/Arthur G. Chater,4.21,1994
The Cross (Kristin Lavransdatter  #3),Sigrid Undset/Tiina Nunnally/Sherrill Harbison,4.29,2000
The Wreath (Kristin Lavransdatter  #1),Sigrid Undset/Tiina Nunnally,4.02,1997
The Mistress of Husaby (Kristin Lavransdatter  #2),Sigrid Undset,4.15,1987
Jenny,Sigrid Undset/Tiina Nunnally,3.79,1998
The Unknown Sigrid Undset: Jenny and Other Works,Sigrid Undset/Tim Page/Tiina Nunnally/Naomi Walford,4.19,2001
Gunnar's Daughter,Sigrid Undset/Sherrill Harbison/Arthur G. Chater,4.18,1998
The Snake Pit (The Master of Hestviken  #2),Sigrid Undset/Arthur G. Chater,4.23,1994
The Son Avenger (The Master of Hestviken  #4),Sigrid Undset,4.4,1995
An Imaginary Life,David Malouf,3.88,1999
The Great World,David Malouf,3.88,1999
A Very Long Engagement,Sébastien Japrisot,3.91,2005
Birdsong,Sebastian Faulks,4.09,1997
The Collected Poems of Wilfred Owen,Wilfred Owen/Cecil Day-Lewis,4.34,1965
Murder in Foggy Bottom (Capital Crimes  #17),Margaret Truman,3.71,2002
The Road,Cormac McCarthy,3.97,2006
The Road to Serfdom,Friedrich A. Hayek,4.18,2006
Road of the Patriarch (Forgotten Realms: The Sellswords  #3),R.A. Salvatore,4.19,2006
Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways,Jamie Jensen,3.96,2006
Howl's Moving Castle (Howl's Moving Castle  #1),Diana Wynne Jones,4.29,2001
Howl and Other Poems,Allen Ginsberg/William Carlos Williams,4.13,2001
When Rabbit Howls,Truddi Chase/Robert A. Phillips,4.04,2002
The Art of Howl's Moving Castle,Hayao Miyazaki/Yuji Oniki/Joe Hisaishi,4.51,2005
Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence,Allen Ginsberg/Barry Miles,4.22,2006
The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings,America's Test Kitchen,4.35,2006
Charlie and the Chocolate Factory (Charlie Bucket  #1),Roald Dahl/Quentin Blake,4.13,2005
Charlie and the Chocolate Factory: A Play,Richard R. George/Roald Dahl,4.33,1979
Charlie and the Chocolate Factory (Abridged),Roald Dahl,3.86,2005
Collected Stories,Roald Dahl/Jeremy Treglown,4.39,2006
Roald Dahl Treasury,Roald Dahl,4.43,2003
Dirty Beasts,Roald Dahl/Quentin Blake,4.01,2002
Never Let Me Go,Kazuo Ishiguro,3.82,2010
Never Let Me Go,Kazuo Ishiguro,3.82,2006
Never Let Me Go,Kazuo Ishiguro/Rosalyn Landor,3.82,2005
Homeric Moments: Clues to Delight in Reading the Odyssey and the Iliad,Eva Brann,4.3,2002
Paradoxes of Education in a Republic,Eva Brann,4.28,1989
The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings,Eva Brann,4.58,2004
Open Secrets / Inward Prospects: Reflections on World and Soul,Eva Brann,4.42,2004
Phaedo,Plato/Eva Brann/Peter Kalkavage/Eric Salem,4.04,1998
Rocky Stories: Tales of Love  Hope  and Happiness at America's Most Famous Steps,Michael Vitez/Tom Gralish/Sylvester Stallone,4.16,2006
My Heart May Be Broken  but My Hair Still Looks Great (Domestic Equalizers #2),Dixie Cash,3.88,2006
Since You're Leaving Anyway  Take Out the Trash (Domestic Equalizers #1),Dixie Cash,3.81,2004
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,2003
Blessings from the Other Side: Wisdom and Comfort from the Afterlife for This Life,Sylvia Browne/Lindsay Harrison,3.98,2002
Mother God: The Feminine Principle to Our Creator,Sylvia Browne,4.05,2004
Thanksgiving,Janet Evanovich,3.6,2006
Plum Lovin' (Stephanie Plum  #12.5),Janet Evanovich,3.72,2007
Four to Score (Stephanie Plum  #4),Janet Evanovich,4.17,1999
Seven Up (Stephanie Plum  #7),Janet Evanovich,4.16,2002
Hard Eight (Stephanie Plum  #8),Janet Evanovich/Lorelei King,4.17,2003
Motor Mouth (Alex Barnaby #2),Janet Evanovich,3.68,2006
A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace,4.25,1997
Ivanhoe,Walter Scott/Graham Tulloch,3.75,2000
Ivanhoe,Marianna Mayer/Walter Scott/John Rush,3.96,2004
Me and Jezebel: When Bette Davis Came for Dinner -- And Stayed ... And Stayed ... And Stayed ... And ...,Elizabeth L. Fuller,3.73,1992
George Washington and Benedict Arnold: A Tale of Two Patriots,Dave R. Palmer,4.27,2006
His Excellency: George Washington,Joseph J. Ellis,3.92,2005
George Washington's Rules of Civility & Decent Behavior in Company and Conversation (Little Books of Wisdom),George Washington,4.08,1989
George Washington's Sacred Fire,Peter A. Lillback/Jerry Newcombe,4.18,2011
Waverley,Walter Scott/Claire Lamont,3.43,1998
The Antiquary,Walter Scott/Nicola J. Watson,3.83,2002
Rob Roy,Walter Scott/Lockhart Bogle,3.7,2002
Prozac Nation,Elizabeth Wurtzel,3.59,2002
Girl  Interrupted: Screenplay based on the book,James Mangold/Anna Hamilton Phelan/Lisa Loomer/Susanna Kaysen,4.02,2000
How to Write a Damn Good Novel: A Step-by-Step No Nonsense Guide to Dramatic Storytelling,James N. Frey,3.86,1987
Book of the Dead (Kay Scarpetta  #15),Patricia Cornwell,3.65,2007
At Risk (Winston Garano  #1),Patricia Cornwell,3.41,2006
Predator (Kay Scarpetta  #14),Patricia Cornwell,3.68,2006
Trace (Kay Scarpetta  #13),Patricia Cornwell,3.78,2005
Postmortem (Kay Scarpetta  #1),Patricia Daniels Cornwell/Patricia Cornwell,4.02,2003
Three Complete Novels: Postmortem / Body Of Evidence / All That Remains (Kay Scarpetta  #1  #2  #3),Patricia Cornwell,4.29,1997
From Potter's Field (Kay Scarpetta  #6),Patricia Cornwell,4.04,2005
The Body Farm (Kay Scarpetta  #5),Patricia Cornwell,4.05,2004
Trace (Kay Scarpetta  #13),Patricia Cornwell/Carolyn McCormick,3.78,2005
Cause of Death (Kay Scarpetta  #7),Patricia Cornwell/C.J. Critt,3.93,2007
The Patricia Cornwell CD Audio Treasury: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),Patricia Cornwell/Kate Burton,4.16,2005
At Risk (Winston Garano  #1),Patricia Cornwell,3.41,2007
The Scarpetta Collection: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),Patricia Cornwell,4.16,2003
In the Dark of the Night,John Saul,3.88,2006
Perfect Nightmare,John Saul,3.89,2006
  said the shotgun to the head.,Saul Williams,4.22,2003
Early Color,Saul Leiter/Martin Harrison,4.73,2006
Herzog,Saul Bellow/Philip Roth,3.78,2003
Midnight Voices,John Saul/Joe Blades,3.75,2003
The Manhattan Hunt Club,John Saul,3.98,2006
Shadows,John Saul,3.93,1993
The Presence,John Saul,3.76,1998
Creature,John Saul,3.84,1997
Asylum (Blackstone Chronicles  #6),John Saul,4.1,1997
Suffer the Children,John Saul,3.91,1989
The Big Bad Wolf  (Alex Cross  #9),James Patterson/مریم کاظمی‌تبار,3.99,2004
Big Bad Wolf,Linda Jones,3.8,1997
Why Do Men Fall Asleep After Sex? More Questions You'd Only Ask a Doctor After Your Third Whiskey Sour,Mark Leyner/Billy Goldberg,3.55,2006
Four Blondes,Candace Bushnell,2.82,2001
Lipstick Jungle,Candace Bushnell,3.41,2006
Lipstick Jungle,Candace Bushnell,3.41,2007
The Easy Way to Stop Smoking: Join the Millions Who Have Become Nonsmokers Using the Easyway Method,Allen Carr,4.3,2004
Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann/Phyllis Haddox/Elaine Bruner,4.17,1986
It's Not Easy Being Green: And Other Things to Consider,Jim Henson/Cheryl Henson,4.2,2005
Playing Easy to Get (B.A.D. Agency #1.5; Vikings Underground #3; Immortals After Dark #1),Sherrilyn Kenyon/Jaid Black/Kresley Cole,4.13,2006
The Big Over Easy (Nursery Crime  #1),Jasper Fforde,3.94,2006
The Enneagram Made Easy: Discover the 9 Types of People,Renee Baron/Elizabeth Wagele,3.82,1994
It's Easy Being Green: A Handbook for Earth-Friendly Living,Crissy Trask/Mike Clelland,3.55,2006
Le Divorce,Diane Johnson,2.88,2003
Divine Conspiracy: Rediscovering Our Hidden Life in God,Dallas Willard,4.22,1998
The Divine Comedy,Dante Alighieri/John Ciardi,4.07,2003
The Divine Comedy,Dante Alighieri/Allen Mandelbaum/Eugenio Montale,4.07,1995
Divine,Karen Kingsbury,4.28,2007
When the Emperor Was Divine,Julie Otsuka,3.73,2004
Complete Divine (Dungeons & Dragons Edition 3.5),David Noonan,3.64,2004
A Divine Revelation of Hell,Mary K. Baxter/T.L. Lowery,4.18,1993
Boy: Tales of Childhood (Roald Dahl's Autobiography  #1),Roald Dahl/Quentin Blake,4.1,2001
The Enormous Crocodile,Roald Dahl/Quentin Blake,3.78,2003
The Magic Finger,Roald Dahl/Quentin Blake,3.68,2001
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,4.14,2001
The Gremlins,Roald Dahl/Artists and Writers Guild/Walt Disney Company/Leonard Maltin,3.44,2006
Going Solo (Roald Dahl's Autobiography  #2),Roald Dahl/Quentin Blake,4.08,2001
Gumbo Ya-Ya: A Collection of Louisiana Folk Tales,Lyle Saxon/Edward Dreyer/Robert Tallant,4.04,1987
James and the Giant Peach,Roald Dahl/Quentin Blake,4.01,2002
Danny the Champion of the World,Roald Dahl/Quentin Blake,4.09,2002
My Uncle Oswald,Roald Dahl,3.89,1986
Fantastic Mr. Fox,Roald Dahl/Quentin Blake,4.05,2002
The Giraffe and the Pelly and Me,Roald Dahl/Quentin Blake,3.82,2001
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.13,2004
Wild Things: Four Tales,Douglas Clegg,3.58,2006
Wild Things (Prowlers Book 1),Christopher Golden,4.03,2003
A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,4.25,1998
Oblivion,David Foster Wallace,4.07,2005
Consider the Lobster and Other Essays,David Foster Wallace,4.23,2005
Brief Interviews with Hideous Men,David Foster Wallace,3.86,2000
Diabetes Meal Planning Made Easy,Hope S. Warshaw/Warshaw Hope,3.42,2006
Easy French Reader,R. de Roussy de Sales,3.85,2003
Algebra the Easy Way,Douglas Downing,4.06,2003
Easy Riders  Raging Bulls,Peter Biskind,4.12,1999
Cloud Atlas,David Mitchell,4.02,2005
The Cloud Atlas,Liam Callanan,3.38,2004
Easy Labor: Every Woman's Guide to Choosing Less Pain and More Joy During Childbirth,William Camann/Kathryn    Alexander,3.45,2006
The McDougall Quick and Easy Cookbook,John A. McDougall/Mary McDougall,4.01,1999
American Sign Language The Easy Way,David A. Stewart/Jessalyn Little/Elizabeth     Stewart,3.75,2006
Ghostwritten,David Mitchell,4.05,2001
Romeo & Juliet,William Shakespeare/Alan Durband,3.74,1993
Easy Prey (Lucas Davenport  #11),John Sandford,4.08,2004
Mayada  Daughter of Iraq: One Woman's Survival Under Saddam Hussein,Jean Sasson,4.0,2004
Three to Get Deadly (Stephanie Plum  #3),Janet Evanovich,4.15,1998
Smitten (Elsie Hawkins #2),Janet Evanovich,3.67,2006
Manhunt,Janet Evanovich,3.7,2005
Three Plums In One (Stephanie Plum  #1-3),Janet Evanovich,4.31,2001
Hot Six (Stephanie Plum  #6),Janet Evanovich,4.19,2001
Amsterdam,Ian McEwan,3.43,1999
Fodor's Amsterdam (Fodor's Gold Guides),Fodor's Travel Publications Inc./Sarah Gold,3.43,2004
The Child in Time,Ian McEwan,3.58,1999
Enduring Love,Ian McEwan,3.63,2004
Black Dogs,Ian McEwan,3.44,1998
The Comfort of Strangers,Ian McEwan,3.41,1994
And the Envelope  Please...: Ever After / An Affair To Remember / It Happened One Night,Barbara Bretton/Emilie Rose/Isabel Sharpe,3.57,2006
Las rubias de 5th Avenue,Plum Sykes,3.28,2005
Tuesdays with Morrie,Mitch Albom,4.1,2007
La Dernière Leçon,Mitch Albom,4.1,2001
My Sister's Keeper,Mavis Applewater,3.86,2004
My Sister's Keeper (Gillian Adams  #2),Nora Kelly,3.7,2000
Their Sisters' Keepers: Women's Prison Reform in America  1830-1930,Estelle B. Freedman,4.27,1984
Baby's Alphabet,Jean Marzollo/Nancy Sheehan,3.75,2002
Welcome to the Monkey House,Kurt Vonnegut Jr./David Strathairn/Maria Tucci/Bill Irwin/Tony    Roberts/Dylan Baker,4.15,2006
What Color Is Your Parachute? A Practical Manual for Job-Hunters and Career-Changers,Richard Nelson Bolles,3.7,2006
You Can Have What You Want: Proven Strategies for Inner and Outer Success,Michael Neill,4.14,2006
Like Water for Chocolate,Laura Esquivel/Thomas  Christensen/Carol Christensen,3.95,1993
Like Water for Chocolate,Laura Esquivel/Yareli Arizmendi,3.95,2006
Como agua para chocolate,Laura Esquivel,3.95,1994
The Radicalism of the American Revolution,Gordon S. Wood,4.06,1993
Emma,Jane Austen/Fiona Stafford,4.0,2003
Prince of Ice (Tale of the Demon World  #3),Emma Holly,3.99,2006
Emma Lazarus,Esther Schor,3.88,2006
Strange Attractions,Emma Holly,3.68,2005
The Mermaid Chair,Sue Monk Kidd,3.13,2006
The Dance of the Dissident Daughter: A Woman's Journey from Christian Tradition to the Sacred Feminine,Sue Monk Kidd,3.95,1996
When the Heart Waits: Spiritual Direction for Life's Sacred Questions,Sue Monk Kidd,4.13,2016
With Open Hands,Henri J.M. Nouwen/Sue Monk Kidd,4.3,2006
Saxons  Vikings  and Celts: The Genetic Roots of Britain and Ireland,Bryan Sykes,3.86,2006
Yeah  I Said It,Wanda Sykes,3.71,2005
The Seven Daughters Of Eve,Bryan Sykes,3.98,2002
Dumbing Down Our Kids: Why American Children Feel Good About Themselves But Can't Read  Write or Add,Charles J. Sykes,3.71,1996
If I Don't Write It Nobody Else Will: An Autobiography,Eric Sykes,3.88,2006
Hamlet,William Shakespeare,4.02,2003
William Shakespeare's A Midsummer Night's Dream (Cliffs Complete),CliffsNotes/Michael McMahon,3.89,2001
A Midsummer Night's Dream,William Shakespeare,3.94,1998
A Midsummer Night's Dream,William Shakespeare/Amanda Root/Arkangel Cast/Roy Hudd/David Harewood,3.94,2005
A Midsummer Night's Dream,William Shakespeare/Roma Gill/B. Litt,3.94,2005
A Midsummer Night's Dream,William Shakespeare/Roma Gill,3.94,2002
The Burning (Guardians of Ga'Hoole  #6),Kathryn Lasky/Richard Cowdrey,4.08,2004
The Siege (Guardians of Ga'Hoole  #4),Kathryn Lasky,4.1,2004
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith,4.08,2006
Morality for Beautiful Girls (No. 1 Ladies' Detective Agency #3),Alexander McCall Smith,3.98,2002
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith/Lisette Lecat,4.08,2005
The Full Cupboard of Life (No. 1 Ladies' Detective Agency  #5),Alexander McCall Smith,4.02,2004
The Tale of Genji,Murasaki Shikibu/Edward G. Seidensticker,3.72,1978
The Tale of Genji,Yoshitaka Amano/Murasaki Shikibu/Rachel Nacth/Anri Itō/Junichi Imura,4.05,2006
The Tale of Genji: Scenes from the World's First Novel (Illustrated Japanese Classics),Murasaki Shikibu/Masayuki Miyata/Jakuchō Seitouchi/Donald Keene/H. Mack Horton/Ayako Watanabe/Michiko Hiraoka,3.74,2001
Blue Shoes and Happiness (No. 1 Ladies' Detective Agency  #7),Alexander McCall Smith,4.06,2006
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6),Alexander McCall Smith,4.08,2005
Ein Gentleman für Mma Ramotswe (No. 1 Ladies' Detective Agency  #2),Alexander McCall Smith,3.96,2002
Ein Koch für Mma Ramotswe (No. 1 Ladies' Detective Agency  #3),Alexander McCall Smith,3.98,2003
The Good Husband of Zebra Drive (No. 1 Ladies' Detective Agency #8),Alexander McCall Smith,4.07,2007
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,3.78,2003
Paris to the Moon,Adam Gopnik,3.76,2001
The Belly of Paris (Les Rougon-Macquart  #3),Émile Zola/Ernest Alfred Vizetelly/Henry Vizetelly,3.91,1995
My Movie Business: A Memoir,John Irving,3.34,2000
Setting Free the Bears / The Water-Method Man / The 158-Pound Marriage,John Irving,3.83,1995
The Headmaster's Papers,Richard A. Hawley/John Irving,3.99,2002
Blade Runner,Philip K. Dick,4.08,1987
The Android (Animorphs  #10),K.A. Applegate/Katherine Applegate,3.77,1997
The Soul of a New Machine,Tracy Kidder,4.11,2000
No Better Place to Die: The Battle Of Stones River,Peter Cozzens,4.17,1991
Never Call Retreat,Bruce Catton/E.B. Long,4.33,2001
The 42nd Parallel (U.S.A.  #1),John Dos Passos,3.82,2000
U.S.A.: 42e Parallèle/L'An premier du siècle/La Grosse galette,John Dos Passos,4.1,2002
The Big Money (U.S.A.  #3),John Dos Passos/E.L. Doctorow,4.03,2000
1919 (U.S.A.  #2),John Dos Passos/E.L. Doctorow,4.0,2000
The King in the Window,Adam Gopnik/Omar Rayyan,3.6,2006
The Karamazov Brothers,Fyodor Dostoyevsky/Ignat Avsey,4.32,1998
The Grand Inquisitor: with related chapters from The Brothers Karamazov,Fyodor Dostoyevsky/Constance Garnett/Charles Guignon,4.36,1993
The Count of Monte Cristo,Alexandre Dumas/Robin Buss,4.25,2003
The Count of Monte Cristo,Alexandre Dumas/Brantley Johnson/Margaret Brantley,4.25,2004
The Count of Monte Cristo,Alexandre Dumas/Lorenzo Carcaterra,4.25,2002
The Brothers Karamazov,Fyodor Dostoyevsky/Andrew R. MacAndrew/Konstantin Mochulsky,4.32,1984
Crime and Punishment,Fyodor Dostoyevsky/Leonard Stanton/James D. Hardy Jr./Sidney Monas/Robin Feuer Miller,4.21,2006
Crime and Punishment in American History,Lawrence M. Friedman,3.86,1994
Crime and Punishment in America,Elliott Currie,3.83,1998
Cliffsnotes on Dostoevsky's Crime and Punishment,James Lamar Roberts/Fyodor Dostoyevsky/CliffsNotes,3.72,2000
On Crimes and Punishments,Cesare Beccaria/David Young,3.92,1986
Crime and Punishment,Fyodor Dostoyevsky/David McDuff,4.21,2002
Crime and Punishment (Norton Critical Editions),Fyodor Dostoyevsky/George Gibian/Jessie Coulson,4.21,1964
The Politics of Injustice: Crime and Punishment in America,Katherine Beckett/Theodore Sasson,3.87,2003
The Beginning and the End,Naguib Mahfouz,4.08,1989
The Black Tulip,Alexandre Dumas/Robin Buss,3.8,2003
La Dame aux Camélias,Alexandre Dumas fils/David Coward,3.99,2000
The Women's War,Alexandre Dumas/Robin Buss,3.93,2006
The Knight of Maison-Rouge,Alexandre Dumas/Julie Rose/Lorenzo Carcaterra,3.89,2004
The Way the Crow Flies,Ann-Marie MacDonald,4.09,2004
As the Crow Flies,Jeffrey Archer,4.1,2004
Under The Tuscan Sun - At Home In Italy,Frances Mayes,3.75,1998
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,3.9,2003
The Secret Life of Bees,Sue Monk Kidd,4.05,2005
The Wounded Healer: Ministry in Contemporary Society,Henri J.M. Nouwen,4.26,1994
